frequency_id,line_id,start_time,end_time,headway_sec
T469,A_2,07:50:00,08:20:00,60
T47,A_2,17:32:00,18:01:00,60
T470,A_2,07:35:00,08:05:00,60
T471,A_2,07:20:00,07:50:00,60
T472,A_2,07:05:00,07:35:00,60
T473,A_2,06:50:00,07:20:00,60
T474,A_2,06:35:00,07:05:00,60
T475,A_2,06:20:00,06:50:00,60
T476,A_2,06:05:00,06:34:00,60
T48,A_2,17:41:00,18:10:00,60
T481,A_1,23:30:00,23:59:00,60
T482,A_1,23:15:00,23:44:00,60
T483,A_1,23:00:00,23:29:00,60
T484,A_1,22:45:00,23:14:00,60
T485,A_1,22:30:00,22:59:00,60
T486,A_1,22:15:00,22:44:00,60
T487,A_1,22:00:00,22:29:00,60
T488,A_1,21:45:00,22:14:00,60
T489,A_1,21:30:00,21:59:00,60
T49,A_2,17:50:00,18:19:00,60
T490,A_1,21:15:00,21:44:00,60
T491,A_1,21:00:00,21:29:00,60
T492,A_1,20:45:00,21:14:00,60
T493,A_1,20:30:00,20:59:00,60
T494,A_1,20:15:00,20:44:00,60
T495,A_1,20:00:00,20:29:00,60
T496,A_1,19:45:00,20:14:00,60
T497,A_1,19:30:00,19:59:00,60
T498,A_1,19:15:00,19:44:00,60
T499,A_1,19:00:00,19:29:00,60
T5,A_2,21:29:00,21:58:00,60
T50,A_2,18:00:00,18:29:00,60
T500,A_1,18:45:00,19:14:00,60
T501,A_1,18:30:00,18:59:00,60
T502,A_1,18:15:00,18:44:00,60
T503,A_1,18:00:00,18:29:00,60
T504,A_1,17:45:00,18:14:00,60
T505,A_1,17:30:00,17:59:00,60
T506,A_1,17:15:00,17:44:00,60
T507,A_1,17:00:00,17:29:00,60
T508,A_1,16:45:00,17:14:00,60
T509,A_1,16:30:00,16:59:00,60
T51,A_2,18:11:00,18:40:00,60
T510,A_1,16:15:00,16:44:00,60
T511,A_1,16:00:00,16:29:00,60
T512,A_1,15:45:00,16:14:00,60
T513,A_1,15:30:00,15:59:00,60
T514,A_1,15:15:00,15:44:00,60
T515,A_1,15:00:00,15:29:00,60
T516,A_1,14:45:00,15:14:00,60
T517,A_1,14:30:00,14:59:00,60
T518,A_1,14:15:00,14:44:00,60
T519,A_1,14:00:00,14:29:00,60
T52,A_2,18:22:00,18:51:00,60
T520,A_1,13:45:00,14:14:00,60
T521,A_1,13:30:00,13:59:00,60
T522,A_1,13:15:00,13:44:00,60
T523,A_1,13:00:00,13:29:00,60
T524,A_1,12:45:00,13:14:00,60
T525,A_1,12:30:00,12:59:00,60
T526,A_1,12:15:00,12:44:00,60
T527,A_1,12:00:00,12:29:00,60
T528,A_1,11:45:00,12:14:00,60
T529,A_1,11:30:00,11:59:00,60
T53,A_2,18:44:00,19:13:00,60
T530,A_1,11:15:00,11:44:00,60
T531,A_1,11:00:00,11:29:00,60
T532,A_1,10:45:00,11:14:00,60
T533,A_1,10:30:00,10:59:00,60
T534,A_1,10:15:00,10:44:00,60
T535,A_1,10:00:00,10:29:00,60
T536,A_1,09:45:00,10:14:00,60
T537,A_1,09:30:00,09:59:00,60
T538,A_1,09:15:00,09:44:00,60
T539,A_1,09:00:00,09:29:00,60
T54,A_2,19:06:00,19:35:00,60
T540,A_1,08:45:00,09:14:00,60
T541,A_1,08:30:00,08:59:00,60
T542,A_1,08:15:00,08:44:00,60
T543,A_1,08:00:00,08:29:00,60
T544,A_1,07:45:00,08:14:00,60
T545,A_1,07:30:00,07:59:00,60
T546,A_1,07:15:00,07:44:00,60
T547,A_1,07:00:00,07:29:00,60
T548,A_1,06:45:00,07:14:00,60
T549,A_1,06:30:00,06:59:00,60
T55,A_2,19:28:00,19:57:00,60
T550,A_1,06:15:00,06:44:00,60
T555,A_1,00:02:00,00:31:00,60
T56,A_2,19:50:00,20:19:00,60
T57,A_2,20:12:00,20:41:00,60
T572,B_1,04:59:00,06:19:00,60
T573,B_1,05:19:00,06:39:00,60
T574,B_1,05:39:00,06:59:00,60
T575,B_1,05:59:00,07:19:00,60
