shapeid,id,x,y,z,seq_id
68840,68840,235042.2003,890909.637,0,5
68840,68840,235074.3793,890939.1085,0,6
68840,68840,235110.4115,890970.6361,0,7
68840,68840,235120.19994999998,890979.1885500001,0,8
68841,68841,235193.86695,891234.02925,0,1
68841,68841,235190.5905,891246.6407,0,2
68841,68841,235180.169,891284.5743,0,3
68842,68842,235217.4583,891108.0016,0,1
68842,68842,235217.3181,891113.7159,0,2
68842,68842,235217.1014,891123.3492,0,3
68842,68842,235211.9827,891149.1875,0,4
68842,68842,235209.6183,891160.3868,0,5
68842,68842,235208.5328,891166.0738,0,6
68842,68842,235206.02425,891178.8149,0,7
68843,68843,235206.02425,891178.8149,0,1
68843,68843,235203.5157,891191.556,0,2
68843,68843,235200.8883,891206.1308,0,3
68843,68843,235197.1434,891221.4178,0,4
68843,68843,235193.86695,891234.02925,0,5
68845,68845,234601.62,890072.0251,0,1
68845,68845,234608.7251,890108.0043,0,2
68845,68845,234618.4121,890133.3689,0,3
68845,68845,234628.1958,890155.6142,0,4
68845,68845,234651.0238,890212.3873,0,5
68845,68845,234671.4196,890260.2607,0,6
68845,68845,234683.2633,890290.5922,0,7
68845,68845,234689.06699999998,890302.1116,0,8
68846,68846,234689.06699999998,890302.1116,0,1
68846,68846,234694.8707,890313.631,0,2
68846,68846,234716.2654,890369.3467,0,3
68846,68846,234741.5073,890429.361,0,4
68846,68846,234757.7915,890462.6581,0,5
68846,68846,234770.0126,890484.8528,0,6
68846,68846,234787.8892,890514.8701,0,7
69811,69811,235759.77255,892027.07995,0,1
69811,69811,235762.4021,892039.7928,0,2
69811,69811,235769.904,892074.6797,0,3
69811,69811,235778.9748,892117.5628,0,4
69813,69813,235669.75329999998,891581.5861500001,0,1
69813,69813,235672.2023,891594.3468,0,2
69813,69813,235681.942,891644.3223,0,3
69813,69813,235684.4371,891657.0790500001,0,4
69814,69814,235734.197,891903.0089499999,0,1
69814,69814,235736.8858,891915.7347,0,2
69814,69814,235751.39,891985.4122,0,3
69814,69814,235757.143,892014.3671,0,4
69814,69814,235759.77255,892027.07995,0,5
69815,69815,235704.5745,891760.23905,0,1
69815,69815,235707.0477,891772.9779,0,2
69815,69815,235721.504,891843.6253,0,3
69815,69815,235731.5082,891890.2832,0,4
69815,69815,235734.197,891903.0089499999,0,5
69816,69816,235684.4371,891657.0790500001,0,1
69816,69816,235686.9322,891669.8358,0,2
69816,69816,235700.9959,891741.4835,0,3
69816,69816,235702.1013,891747.5002,0,4
69816,69816,235704.5745,891760.23905,0,5
87619,87619,234560.73105,890904.4639,0,1
87619,87619,234572.2733,890910.2662,0,2
87619,87619,234603.1545,890924.3082,0,3
87619,87619,234615.00325,890929.6318999999,0,4
111391,111391,235300.33755,891355.9984500001,0,1
111391,111391,235287.4848,891354.9053,0,2
111391,111391,235264.0816,891353.8589,0,3
