"","weights"
"1730",0
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",0
"1738",0
"1739",0
"1740",0
"1741",0
"1742",0
"1743",0
"1744",0
"1745",0
"1746",0
"1747",0
"1748",0.0266519072649673
"1749",0.0822442097666051
"1750",0
"1751",0
"1752",0
"1753",0
"1754",1.28251802238384
"1755",0
"1756",9.25483767789823e-320
"1757",6.68111337396859
"1758",6.68111337396859
"1759",0
"1760",0
"1761",0
"1762",0
"1763",0
"1764",0
"1765",29.8918696106221
"1766",0
"1767",0
"1768",0
"1769",0
"1770",0
"1771",0
"1772",0
"1773",0
"1774",0
"1775",0.12148876320183
"1776",0
"1777",0
"1778",0
"1779",0
"1780",5.03813982852056
"1781",0
"1782",0
"1783",9.25483767789823e-320
"1784",0.395955144731821
"1785",9.25483767789823e-320
"1786",0
"1787",0
"1788",0
"1789",0
"1790",0
"1791",0
"1792",0
"1793",0
"1794",0
"1795",0
"1796",0
"1797",0
"1798",0
"1799",0
"1800",27.7522229526763
"1801",0
"1802",0
"1803",0
"1804",0.454593355172419
"1805",2.70538748455303
"1806",2.70538748455303
"1807",5.03813982852056
"1808",1.54247484263854
"1809",0
"1810",0
"1811",9.25483767789823e-320
"1812",0
"1813",0
"1814",15.2620158700613
"1815",15.3644748233982
"1816",15.3644748233982
"1817",15.3644748233982
"1818",9.25483767789823e-320
"1819",9.25483767789823e-320
"1820",0
"1821",0
"1822",0
"1823",0
"1824",0
"1825",0
"1826",0
"1827",0
"1828",0
"1829",0
"1830",0
"1831",0
"1832",0
"1833",0
"1834",0
"1835",0
"1836",9.25483767789823e-320
"1837",9.25483767789823e-320
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",0
"1844",0
"1845",9.25483767789823e-320
"1846",0
"1847",0
"1848",0
"1849",0
"1850",0
"1851",8.08039654844883
"1852",8.08039654844883
"1853",19.7288869723231
"1854",19.7288869723231
"1855",0
"1856",0
"1857",0
"1858",2.23760987974618
"1859",9.25483767789823e-320
"1860",0
"1861",0
"1862",0
"1863",0
"1864",0
"1865",0.786463066889529
"1866",0.0611366643042022
"1867",0.0611366643042022
"1868",9.25483767789823e-320
"1869",0
"1870",0
"1871",0
"1872",0
"1873",0
"1874",0
"1875",0
"1876",0
"1877",0.337609940311084
"1878",0
"1879",0
"1880",0
"1881",0
"1882",0
"1883",0
"1884",0
"1885",0.405836557217929
"1886",0
"1887",0
"1888",0
"1889",0
"1890",31.5790408755857
"1891",0
"1892",0
"1893",0
"1894",0
"1895",0
"1896",0
"1897",0
"1898",0.475895906518453
"1899",0
"1900",0
"1901",0
"1902",0
"1903",0
"1904",4.88874520268307
"1905",0
"1906",0
"1907",0
"1908",0
"1909",0
"1910",0
"1911",0
"1912",0
"1913",0
"1914",0
"1915",0
"1916",0
"1917",0
"1918",0
"1919",0
"1920",0.489912999656068
"1921",0.489912999656068
"1922",0
"1923",7.31870813499642
"1924",1.06295370794433
"1925",0
"1926",0
"1927",0
"1928",0
"1929",0
"1930",5.72333753291319
"1931",5.72333753291319
"1932",0
"1933",0
"1934",0
"1935",0
"1936",0
"1937",0
"1938",40.3428088551406
"1939",40.3428088551406
"1940",40.3428088551406
"1941",1.54247484263854
"1942",1.2943531789749e-319
"1943",0
"1944",0
"1945",0
"1946",0
"1947",0
"1948",0
"1949",0
"1950",0
"1951",0
"1952",0
"1953",0
"1954",0
"1955",0
"1956",8.44473177936743
"1957",8.44473177936743
"1958",0
"1959",0
"1960",0
"1961",0
"1962",0
"1963",0
"1964",0
"1965",0
"1966",0
