id,from_lane,to_lane,group_id,max_speed,tags
19595,23001,557401,1268,40,
19591,23001,556801,1267,40,
19587,23001,556400,1266,40,
18322,23900,341801,800,40,
18313,23900,341000,798,40,
18317,23900,341700,799,40,
18318,23900,341701,799,40,
18321,23900,341800,800,40,
18314,23900,341001,798,40,
18316,23901,341001,798,40,
18320,23901,341701,799,40,
18315,23901,341000,798,40,
18323,23901,341800,800,40,
18319,23901,341700,799,40,
18324,23901,341801,800,40,
19473,24200,551702,1233,55,
19471,24200,551700,1233,55,
19472,24200,551701,1233,55,
16606,24300,103300,217,60,
16603,24300,100001,216,60,
16598,24300,99900,215,60,
16599,24300,99901,215,60,
16602,24300,100000,216,60,
16607,24301,103300,217,60,
16605,24301,100001,216,60,
