id,nodeid,from_link,to_link,phases,rules,visibility,tags
1450,182812124,429,649,,,,
1449,182812124,429,648,,,,
1448,182812124,429,647,,,,
464,1063422258,430,203,,,,
1518,1063436068,431,684,,,,
166,182805640,432,70,,,,
703,182848934,433,319,,,,
702,182848934,433,318,,,,
701,182848934,433,317,,,,
759,182849207,434,344,,,,
760,182849207,434,345,,,,
761,182849207,434,346,,,,
1131,640686312,435,504,,,,
1056,182859652,436,474,,,,
1058,182859652,436,476,,,,
1057,182859652,436,475,,,,
1194,2037152295,437,538,,,,
1193,2037152295,437,537,,,,
1195,2037152295,437,539,,,,
569,2037152214,438,252,,,,
567,2037152214,438,250,,,,
568,2037152214,438,251,,,,
1400,2037152286,439,626,,,,
1399,2037152286,439,625,,,,
1398,2037152286,439,624,,,,
1235,797784817,440,558,,,,
1234,797784817,440,557,,,,
1236,797784817,440,559,,,,
310,182847214,441,137,,,,
308,182847214,441,135,,,,
309,182847214,441,136,,,,
7,182837290,442,1,,,,
8,182837290,442,2,,,,
9,182837290,442,3,,,,
1180,640596459,443,529,,,,
1179,640596459,443,528,,,,
447,640616543,444,192,,,,
445,640616543,444,190,,,,
446,640616543,444,191,,,,
68,183353712,445,27,,,,
1008,183359061,446,451,,,,
1009,183359061,446,452,,,,
1010,183359061,446,453,,,,
1011,183359061,447,451,,,,
1013,183359061,447,453,,,,
1012,183359061,447,452,,,,
820,640659334,448,369,,,,
821,640659334,448,370,,,,
794,182849293,449,359,,,,
793,182849293,449,358,,,,
792,182849293,449,357,,,,
1311,640660639,450,586,,,,
1312,640660639,450,587,,,,
410,183355429,451,179,,,,
411,183355429,451,180,,,,
889,183218566,452,397,,,,
890,183218566,452,398,,,,
995,183358910,453,447,,,,
994,183358910,453,446,,,,
993,183358910,453,445,,,,
363,640616240,454,156,,,,
362,640616240,454,155,,,,
361,640616240,454,154,,,,
297,640616152,455,131,,,,
296,640616152,455,130,,,,
298,640616152,455,132,,,,
922,4730095108,456,416,,,,
923,4730095108,456,417,,,,
618,1661250637,457,278,,,,
753,182813292,458,342,,,,
754,182813292,458,343,,,,
1026,640685797,459,461,,,,
874,182826903,460,392,,,,
875,182826903,460,393,,,,
372,640713016,461,159,,,,
373,640713016,461,160,,,,
133,182813575,462,57,,,,
134,182813575,462,58,,,,
135,182813575,462,59,,,,
118,182813566,463,54,,,,
120,182813566,463,56,,,,
117,182813566,463,53,,,,
119,182813566,463,55,,,,
1430,182861111,464,638,,,,
1429,182861111,464,637,,,,
1044,640685842,465,469,,,,
1042,640685822,466,468,,,,
1041,640685822,466,467,,,,
1049,640685876,467,471,,,,
1048,640685876,467,470,,,,
1050,640685876,467,472,,,,
1043,640685842,468,469,,,,
609,640685915,469,273,,,,
608,640685915,469,272,,,,
1305,182859997,470,583,,,,
1306,182859997,470,584,,,,
1307,182859997,470,585,,,,
1039,640685822,471,467,,,,
1040,640685822,471,468,,,,
206,182805879,472,89,,,,
207,182805879,472,90,,,,
208,182805879,472,91,,,,
1024,640685754,473,459,,,,
1025,640685754,473,460,,,,
