"start_stops","end_stops","r_type","service_id","Road_Index","stop_link_sequence","road_edge_id","r_service_lines","link_travel_time","edge_id","wait_time","walk_time","transit_time","transfer_penalty","day_transit_time","dist"
"A14","A3","RTS","A_2","0",1,"10/8/6/4/3/26/23/21/19/17/15","A_2",1500,208,120,50,1500,240,1500,31.25
"A14","A4","RTS","A_2","0",1,"10/8/6/4/3/26/23/21/19/17","A_2",1380,209,120,50,1380,240,1380,28.75
"A14","A5","RTS","A_2","0",1,"10/8/6/4/3/26/23/21/19","A_2",1320,210,120,50,1320,240,1320,27.5
"A14","A6","RTS","A_2","0",1,"10/8/6/4/3/26/23/21","A_2",1200,211,120,50,1200,240,1200,25
"A14","A7","RTS","A_2","0",1,"10/8/6/4/3/26/23","A_2",1080,212,120,50,1080,240,1080,22.5
"A14","A8","RTS","A_2","0",1,"10/8/6/4/3/26","A_2",960,213,120,50,960,240,960,20
"A14","A9","RTS","A_2","0",1,"10/8/6/4/3","A_2",780,214,120,50,780,240,780,16.25
"A2","A10","RTS","A_1","0",2,"12/14/16/18/20/22/24/25","A_1",900,215,120,50,900,240,900,18.75
"A2","A11","RTS","A_1","0",2,"12/14/16/18/20/22/24/25/2","A_1",1020,216,120,50,1020,240,1020,21.25
"A2","A12","RTS","A_1","0",2,"12/14/16/18/20/22/24/25/2/5","A_1",1140,217,120,50,1140,240,1140,23.75
"A2","A13","RTS","A_1","0",2,"12/14/16/18/20/22/24/25/2/5/7","A_1",1320,218,120,50,1320,240,1320,27.5
"A2","A14","RTS","A_1","0",2,"12/14/16/18/20/22/24/25/2/5/7/9","A_1",1620,219,120,50,1620,240,1620,33.75
"A2","A4","RTS","A_1","0",2,"12/14","A_1",180,220,120,50,180,240,180,3.75
"A2","A5","RTS","A_1","0",2,"12/14/16","A_1",300,221,120,50,300,240,300,6.25
"A2","A6","RTS","A_1","0",2,"12/14/16/18","A_1",420,222,120,50,420,240,420,8.75
"A2","A7","RTS","A_1","0",2,"12/14/16/18/20","A_1",480,223,120,50,480,240,480,10
"A2","A8","RTS","A_1","0",2,"12/14/16/18/20/22","A_1",600,224,120,50,600,240,600,12.5
"A2","A9","RTS","A_1","0",2,"12/14/16/18/20/22/24","A_1",780,225,120,50,780,240,780,16.25
"A3","A1","RTS","A_2","0",12,"13/11","A_2",240,226,120,50,240,240,240,5
"A3","A10","RTS","A_1","0",3,"14/16/18/20/22/24/25","A_1",780,227,120,50,780,240,780,16.25
"A3","A11","RTS","A_1","0",3,"14/16/18/20/22/24/25/2","A_1",900,228,120,50,900,240,900,18.75
"A3","A12","RTS","A_1","0",3,"14/16/18/20/22/24/25/2/5","A_1",1020,229,120,50,1020,240,1020,21.25
"A3","A13","RTS","A_1","0",3,"14/16/18/20/22/24/25/2/5/7","A_1",1200,230,120,50,1200,240,1200,25
"A3","A14","RTS","A_1","0",3,"14/16/18/20/22/24/25/2/5/7/9","A_1",1500,231,120,50,1500,240,1500,31.25
"A3","A5","RTS","A_1","0",3,"14/16","A_1",180,232,120,50,180,240,180,3.75
"A3","A6","RTS","A_1","0",3,"14/16/18","A_1",300,233,120,50,300,240,300,6.25
"A3","A7","RTS","A_1","0",3,"14/16/18/20","A_1",360,234,120,50,360,240,360,7.5
